"blocks","inits","wtRange","hids","lrate","beta","outRule","constrainChannel","numChannel","train_length","spawn","numCats","matchHuman","parameterization"
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,3,0,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,3,0,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,3,0,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,3,0,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,0,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
2,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,1
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
3,100,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,2
